score,title,source_kind,docs_type,hit_count,category_count,categories,matched_queries,url,raw_status,reasons
20.3,HR常见问题及解决方案总览,docs,docx,4,2,考勤 | 邮箱与应用,打卡 | 考勤 | 补卡 | 飞书应用,https://www.feishu.cn/docx/B0zBdIpZuo2M3nxDYbtcwAcLnze,,覆盖类别 2 | 命中次数 4 | 可读取正文 | 正文强信号 4
16.7,速通捷途研发教程（限时免费版）,docs,docx,4,2,考勤 | 邮箱与应用,考勤 | 考勤异常 | 补卡 | 飞书应用,https://www.feishu.cn/docx/HCitdop5RoAoQKxdKZvcBhw7n6f,,覆盖类别 2 | 命中次数 4 | 可读取正文 | 正文强信号 1
16.6,补卡、请假申请流程及注意事项,docs,docx,3,1,考勤,打卡 | 考勤 | 补卡,https://www.feishu.cn/docx/FP3zdceUio1HQAxSYqqcsYcTnXd,,覆盖类别 1 | 命中次数 3 | 标题强信号 1 | 可读取正文 | 正文强信号 3
16.0,EAM系统使用常见问题解决手册,docs,docx,1,1,考勤,考勤,https://www.feishu.cn/docx/DdQHdC0Y6oKQI0xtQFUcfnKtnU5,,覆盖类别 1 | 命中次数 1 | 标题强信号 1 | 可读取正文 | 正文强信号 5
13.7,《墨甲机器人出国管理规定》2024版(1),docs,docx,2,2,考勤 | 邮箱与应用,MFA | 考勤,https://www.feishu.cn/docx/YGkbdWbBno7ufjxg21RcgiBpnhc,,覆盖类别 2 | 命中次数 2 | 可读取正文 | 正文强信号 1
11.5,各系统账号、权限申请(注销/变更)流程,wiki,8,1,1,邮箱与应用,系统账号,https://my-ichery.feishu.cn/wiki/LBdywjN2Mi4Zxikr5KdcAyaln2g,,覆盖类别 1 | 命中次数 1 | 标题强信号 2 | 知识库来源
10.5,A04.SAP HR考勤管理操作概述,wiki,8,2,1,考勤,打卡 | 考勤,https://my-ichery.feishu.cn/wiki/RXjVwwnFFiuQWtkPRtHcpogxntc,,覆盖类别 1 | 命中次数 2 | 标题强信号 1 | 知识库来源
10.5,驻场外协管理规范(弃),wiki,8,2,1,考勤,打卡 | 漏打卡,https://my-ichery.feishu.cn/wiki/C7DIwak8EifVCZkibKMckzFlnye,,覆盖类别 1 | 命中次数 2 | 标题强信号 1 | 知识库来源
10.0,部门规章制度,docs,docx,1,1,考勤,考勤,https://www.feishu.cn/docx/C7mWdnkpuo7x3nxyqdicDvt5nFg,,覆盖类别 1 | 命中次数 1 | 标题强信号 1 | 可读取正文
9.5,CGDES常见问题处理手册,docs,docx,2,1,邮箱与应用,单点登录 | 系统账号,https://www.feishu.cn/docx/LbWtdvmV3oPQpYxem6HcfpQGnEe,rate_limited,覆盖类别 1 | 命中次数 2 | 标题强信号 1
9.0,飞书应用FAQ,wiki,8,1,1,邮箱与应用,飞书应用,https://my-ichery.feishu.cn/wiki/DnazwR9vgiJhZckJyT7ccdLmnbe,,覆盖类别 1 | 命中次数 1 | 标题强信号 1 | 知识库来源
9.0,赛道二参赛指南：场景创新·驱动业务（团队赛）,wiki,8,1,1,邮箱与应用,飞书应用,https://my-ichery.feishu.cn/wiki/MHBTwBsZ8iNVAVk0IqhcfiXXnTg,,覆盖类别 1 | 命中次数 1 | 标题强信号 1 | 知识库来源
9.0,IOT系统账号申请指南,wiki,8,1,1,邮箱与应用,系统账号,https://my-ichery.feishu.cn/wiki/Ez71wyaYLiODLJkCkricr31Mnwc,,覆盖类别 1 | 命中次数 1 | 标题强信号 1 | 知识库来源
9.0,零件号申请流程（新号）系统操作,wiki,8,1,1,邮箱与应用,系统账号,https://my-ichery.feishu.cn/wiki/FMtPw7a6giIqbdk7UlocBwKCnC2,,覆盖类别 1 | 命中次数 1 | 标题强信号 1 | 知识库来源
9.0,单点登录配置场景&流程,wiki,8,1,1,邮箱与应用,单点登录,https://my-ichery.feishu.cn/wiki/NY3gwV3NaiAb56k5iYScO4IBnRf,,覆盖类别 1 | 命中次数 1 | 标题强信号 1 | 知识库来源
9.0,流程图设计-对接单点登录,wiki,8,1,1,邮箱与应用,单点登录,https://my-ichery.feishu.cn/wiki/IE8Xw9dNbifW2tk6zfIcNht6nhb,,覆盖类别 1 | 命中次数 1 | 标题强信号 1 | 知识库来源
9.0,差旅申请单,wiki,8,1,1,邮箱与应用,单点登录,https://my-ichery.feishu.cn/wiki/Ln8hwTXnxiVygqknLs0c24fCnOc,,覆盖类别 1 | 命中次数 1 | 标题强信号 1 | 知识库来源
9.0,SSO登录几种场景流程图,wiki,8,1,1,邮箱与应用,SSO,https://my-ichery.feishu.cn/wiki/VA2QwHCShi2TCBkpEvYckJlFnVe,,覆盖类别 1 | 命中次数 1 | 标题强信号 1 | 知识库来源
9.0,sso代理IAM授权流程图,wiki,8,1,1,邮箱与应用,SSO,https://my-ichery.feishu.cn/wiki/JXhgwjhtiiPzO4kmrutc7Anenne,,覆盖类别 1 | 命中次数 1 | 标题强信号 1 | 知识库来源
9.0,DevOps工作指引,wiki,8,1,1,邮箱与应用,MFA,https://my-ichery.feishu.cn/wiki/AYbpwQBVMiadLakJ3SHc9TYRnkf,,覆盖类别 1 | 命中次数 1 | 标题强信号 1 | 知识库来源
9.0,考勤系统,wiki,2,1,1,考勤,考勤,https://my-ichery.feishu.cn/wiki/OUiLwMRsUilhf4kdlYbcttpwnhg,,覆盖类别 1 | 命中次数 1 | 标题强信号 1 | 知识库来源
9.0,2025考勤,wiki,8,1,1,考勤,考勤,https://my-ichery.feishu.cn/wiki/DVIxwlzWRiWt70kcSNocQzuAnud,,覆盖类别 1 | 命中次数 1 | 标题强信号 1 | 知识库来源
9.0,2025年06月外包供应商考勤表-星途项目,wiki,2,1,1,考勤,考勤,https://my-ichery.feishu.cn/wiki/BeNdwimBniUFowk055wckbQTnue,,覆盖类别 1 | 命中次数 1 | 标题强信号 1 | 知识库来源
9.0,2025年05月外包供应商考勤表-星途项目,wiki,2,1,1,考勤,考勤,https://my-ichery.feishu.cn/wiki/FSpjwR8HBi4e3gkXGXGcsDG0nOb,,覆盖类别 1 | 命中次数 1 | 标题强信号 1 | 知识库来源
9.0,2025年04月外包供应商考勤表-星途项目,wiki,2,1,1,考勤,考勤,https://my-ichery.feishu.cn/wiki/KlXWwfUbei6NjJkw1rvcJYEKnj0,,覆盖类别 1 | 命中次数 1 | 标题强信号 1 | 知识库来源
9.0,A04.01.SAP HR操作指南-缺勤&加班维护,wiki,8,1,1,考勤,考勤,https://my-ichery.feishu.cn/wiki/Hcq9wruDEidu2qkib7ccqZiJncf,,覆盖类别 1 | 命中次数 1 | 标题强信号 1 | 知识库来源
9.0,A03.03.SAP HR操作指南-人事活动——入、转、调、离,wiki,8,1,1,考勤,考勤,https://my-ichery.feishu.cn/wiki/FTFQw6RWmip0Kxk7VctcCpfUnhe,,覆盖类别 1 | 命中次数 1 | 标题强信号 1 | 知识库来源
