score,title,source_kind,docs_type,hit_count,category_count,categories,matched_queries,url,raw_status,reasons
27.7,信息化指引手册,docs,docx,4,2,IT报修 | 账号权限,IT报修 | IT自助服务 | 权限申请 | 电脑维修,https://www.feishu.cn/docx/Jh7TdpqyXoiSb8xVFEGcIX0wn0b,,覆盖类别 2 | 命中次数 4 | 标题强信号 2 | 可读取正文 | 正文强信号 6
25.5,EAM系统使用常见问题解决手册,docs,docx,5,2,IT报修 | 账号权限,IT报修 | IT故障报修 | 电脑维修 | 设备故障 | 账号权限,https://www.feishu.cn/docx/DdQHdC0Y6oKQI0xtQFUcfnKtnU5,,覆盖类别 2 | 命中次数 5 | 标题强信号 1 | 可读取正文 | 正文强信号 5
18.6,信息化指南,docs,docx,2,2,IT报修 | 账号权限,IT报修 | 权限申请,https://www.feishu.cn/docx/DeqcdXPnYoKorCx2F9FcqNmWnyc,,覆盖类别 2 | 命中次数 2 | 标题强信号 1 | 可读取正文 | 正文强信号 3
15.1,补卡、请假申请流程及注意事项,docs,docx,2,1,IT报修,IT报修 | IT自助服务,https://www.feishu.cn/docx/FP3zdceUio1HQAxSYqqcsYcTnXd,,覆盖类别 1 | 命中次数 2 | 标题强信号 1 | 可读取正文 | 正文强信号 3
14.0,登录账号、密码、权限,wiki,8,2,2,IT报修 | 账号权限,提交工单 | 账号权限,https://my-ichery.feishu.cn/wiki/SKhdweH5Ai356DkojJycVDsdnhe,,覆盖类别 2 | 命中次数 2 | 标题强信号 1 | 知识库来源
13.8,HR常见问题及解决方案总览,docs,docx,2,1,IT报修,IT报修 | IT自助服务,https://www.feishu.cn/docx/B0zBdIpZuo2M3nxDYbtcwAcLnze,,覆盖类别 1 | 命中次数 2 | 可读取正文 | 正文强信号 4
13.0,新人入职指南,wiki,8,2,1,IT报修,IT自助服务 | 服务台,https://my-ichery.feishu.cn/wiki/FvbDwS3KTiuH1lkyCewcpQWDnJb,,覆盖类别 1 | 命中次数 2 | 标题强信号 2 | 知识库来源
13.0,各系统账号、权限申请(注销/变更)流程,wiki,8,2,1,账号权限,权限申请 | 账号权限,https://my-ichery.feishu.cn/wiki/LBdywjN2Mi4Zxikr5KdcAyaln2g,,覆盖类别 1 | 命中次数 2 | 标题强信号 2 | 知识库来源
11.5,IT自助报修后如何自行关闭工单,wiki,8,1,1,IT报修,IT报修,https://my-ichery.feishu.cn/wiki/BXEPwPGVEiidrqk68ducBswXnne,,覆盖类别 1 | 命中次数 1 | 标题强信号 2 | 知识库来源
11.5,变更流程业务和IT支持人员(20),wiki,8,1,1,IT报修,IT报修,https://my-ichery.feishu.cn/wiki/Z10Uwmme1ivAcMk53VbcsgmnnUv,,覆盖类别 1 | 命中次数 1 | 标题强信号 2 | 知识库来源
