score,title,source_kind,docs_type,hit_count,category_count,categories,matched_queries,url,raw_status,reasons
27.6,补卡、请假申请流程及注意事项,docs,docx,8,2,加班与调休 | 请假与假期,产假 | 休假 | 婚假 | 年假 | 病假 | 请假 | 调休,https://www.feishu.cn/docx/FP3zdceUio1HQAxSYqqcsYcTnXd,,覆盖类别 2 | 命中次数 8 | 标题强信号 1 | 可读取正文 | 正文强信号 3
26.3,HR常见问题及解决方案总览,docs,docx,8,2,加班与调休 | 请假与假期,产假 | 休假 | 加班 | 年假 | 病假 | 请假 | 调休,https://www.feishu.cn/docx/B0zBdIpZuo2M3nxDYbtcwAcLnze,,覆盖类别 2 | 命中次数 8 | 可读取正文 | 正文强信号 4
23.0,A04.SAP HR考勤管理操作概述,wiki,8,9,2,加班与调休 | 请假与假期,产假 | 休假 | 加班 | 婚假 | 年假 | 病假 | 请假 | 调休,https://my-ichery.feishu.cn/wiki/RXjVwwnFFiuQWtkPRtHcpogxntc,,覆盖类别 2 | 命中次数 9 | 标题强信号 1 | 知识库来源
21.0,EAM系统使用常见问题解决手册,docs,docx,2,2,加班与调休 | 请假与假期,休假 | 加班,https://www.feishu.cn/docx/DdQHdC0Y6oKQI0xtQFUcfnKtnU5,,覆盖类别 2 | 命中次数 2 | 标题强信号 1 | 可读取正文 | 正文强信号 5
17.0,A04.01.SAP HR操作指南-缺勤&加班维护,wiki,8,4,2,加班与调休 | 请假与假期,加班 | 请假 | 调休,https://my-ichery.feishu.cn/wiki/Hcq9wruDEidu2qkib7ccqZiJncf,,覆盖类别 2 | 命中次数 4 | 标题强信号 1 | 知识库来源
15.5,26校招话术,docs,docx,4,2,加班与调休 | 请假与假期,加班 | 请假 | 调休,https://www.feishu.cn/docx/AxtydVGtXofBFPxCKJbczcbunHb,,覆盖类别 2 | 命中次数 4 | 可读取正文
14.5,A09.SAP HR系统上线缺勤定额导入,wiki,8,4,2,加班与调休 | 请假与假期,年假 | 病假 | 调休,https://my-ichery.feishu.cn/wiki/JwtvwRJM6ifpLskCZPQcJc6NnPc,,覆盖类别 2 | 命中次数 4 | 知识库来源
14.0,2026 节假日一览表,docs,docx,3,2,加班与调休 | 请假与假期,休假 | 调休,https://www.feishu.cn/docx/doxcnvxWoHd0RO6BgW1RBmCqh0f,,覆盖类别 2 | 命中次数 3 | 可读取正文
14.0,新人指引,wiki,8,2,2,加班与调休 | 请假与假期,加班 | 请假,https://my-ichery.feishu.cn/wiki/JI6Sw6qKtiqISyk10mMcMfyGngd,,覆盖类别 2 | 命中次数 2 | 标题强信号 1 | 知识库来源
14.0,新人指引,wiki,8,2,2,加班与调休 | 请假与假期,加班 | 请假,https://my-ichery.feishu.cn/wiki/WYqdwgLHzi3M72kx9v3cor5bnZT,,覆盖类别 2 | 命中次数 2 | 标题强信号 1 | 知识库来源
13.7,月度工作计划,docs,docx,2,2,加班与调休 | 请假与假期,调休,https://www.feishu.cn/docx/NFI0dutKVoUzuqxj75dc1OzWnFb,,覆盖类别 2 | 命中次数 2 | 可读取正文 | 正文强信号 1
13.0,A06.SAP HR用户反馈问题解答合集,wiki,8,3,2,加班与调休 | 请假与假期,休假 | 调休,https://my-ichery.feishu.cn/wiki/VkH1wzFVXiThc9kPX8icxbDundK,,覆盖类别 2 | 命中次数 3 | 知识库来源
13.0,Apollo 项目功能开发计划,wiki,2,3,2,加班与调休 | 请假与假期,产假 | 调休,https://my-ichery.feishu.cn/wiki/WbziwRtJWi5dKwk7RsVcn479nGh,,覆盖类别 2 | 命中次数 3 | 知识库来源
12.5,智慧底盘模块-晨会材料-20260226,docs,docx,2,2,加班与调休 | 请假与假期,休假 | 加班,https://www.feishu.cn/docx/RVN7de95co23HQxN6qWc2l6nnUe,,覆盖类别 2 | 命中次数 2 | 可读取正文
12.5,📅 2026 年营销日历,docs,docx,2,2,加班与调休 | 请假与假期,调休,https://www.feishu.cn/docx/HNbud5LURozqOXxNQPwco3SSnhh,,覆盖类别 2 | 命中次数 2 | 可读取正文
12.5,月間スケジュール管理,docs,docx,2,2,加班与调休 | 请假与假期,调休,https://www.feishu.cn/docx/BMhOdF7uHoIAiUxIFyYcRVznnXb,,覆盖类别 2 | 命中次数 2 | 可读取正文
11.5,FR小程序项目计划,wiki,2,2,2,加班与调休 | 请假与假期,调休,https://my-ichery.feishu.cn/wiki/Nm0WwtLMWizUSJkhkHCc0sQenZd,,覆盖类别 2 | 命中次数 2 | 知识库来源
11.5,常见问题答疑（FAQ）,wiki,8,1,1,考勤,签到,https://my-ichery.feishu.cn/wiki/NaCqwCJVYi5Me4klQe3c9AqFnJg,,覆盖类别 1 | 命中次数 1 | 标题强信号 2 | 知识库来源
9.0,A03.03.SAP HR操作指南-人事活动——入、转、调、离,wiki,8,1,1,请假与假期,请假,https://my-ichery.feishu.cn/wiki/FTFQw6RWmip0Kxk7VctcCpfUnhe,,覆盖类别 1 | 命中次数 1 | 标题强信号 1 | 知识库来源
9.0,2025年06月外包供应商考勤表-星途项目,wiki,2,1,1,请假与假期,休假,https://my-ichery.feishu.cn/wiki/BeNdwimBniUFowk055wckbQTnue,,覆盖类别 1 | 命中次数 1 | 标题强信号 1 | 知识库来源
9.0,2025年05月外包供应商考勤表-星途项目,wiki,2,1,1,请假与假期,休假,https://my-ichery.feishu.cn/wiki/FSpjwR8HBi4e3gkXGXGcsDG0nOb,,覆盖类别 1 | 命中次数 1 | 标题强信号 1 | 知识库来源
8.0,内部问题反馈与业务熟悉记录,wiki,3,2,1,请假与假期,年假 | 请假,https://my-ichery.feishu.cn/wiki/GIFnwlhdYiZhxYkVB2Pcne6hnUe,,覆盖类别 1 | 命中次数 2 | 知识库来源
8.0,Message数据大对象V2.0,wiki,8,2,1,请假与假期,年假 | 病假,https://my-ichery.feishu.cn/wiki/LPBtwzENliSsclkvr8qc8SGAnJc,,覆盖类别 1 | 命中次数 2 | 知识库来源
8.0,智界数据管理业务指导手册,docs,docx,1,1,请假与假期,请假,https://www.feishu.cn/docx/TBKhd0mV4o03UDxIXQrc3UHZnlc,rate_limited,覆盖类别 1 | 命中次数 1 | 标题强信号 1
8.0,员工管理制度,docs,docx,1,1,请假与假期,休假,https://www.feishu.cn/docx/doxcng2WuNQoFwYt9IDn3iqXqUb,rate_limited,覆盖类别 1 | 命中次数 1 | 标题强信号 1
8.0,iCAR 行政后勤服务手册,docs,docx,1,1,加班与调休,加班,https://www.feishu.cn/docx/H75vdwtHIo9u6px1gHtcXf2LnGh,rate_limited,覆盖类别 1 | 命中次数 1 | 标题强信号 1
7.0,IP账号脚本—路遥,docs,docx,2,1,请假与假期,休假 | 年假,https://www.feishu.cn/docx/POykdf4B7o2aOExHWhwczdXMnrg,rate_limited,覆盖类别 1 | 命中次数 2
7.0,E0V 模具验收差旅日报20260207,docs,docx,1,1,加班与调休,加班,https://www.feishu.cn/docx/OOnsd9reUoEkV1xMRdzc6eUenCc,,覆盖类别 1 | 命中次数 1 | 标题强信号 1 | 标题疑似噪声 -1 | 可读取正文
6.5,飞书如何使用二维码签到？,wiki,8,1,1,考勤,签到,https://my-ichery.feishu.cn/wiki/FDuAwJT4XivVgHkcf8GcJltJnld,,覆盖类别 1 | 命中次数 1 | 知识库来源
6.5,我的-签到,wiki,8,1,1,考勤,签到,https://my-ichery.feishu.cn/wiki/FwKCwh6VAiofIgkdWoPcGQk3nIg,,覆盖类别 1 | 命中次数 1 | 知识库来源
6.5,S0501-W-05量产整车零部件小批量试装操作办法A.7.pdf,wiki,5,1,1,考勤,签到,https://my-ichery.feishu.cn/wiki/Sgv5wz91EigGUyk6hDyc2O4anee,,覆盖类别 1 | 命中次数 1 | 知识库来源
6.5,1.2整车CAD数据质量提升checklist,wiki,8,1,1,考勤,签到,https://my-ichery.feishu.cn/wiki/EDoawfckRiDn0jkKnRFcHsPvnXf,,覆盖类别 1 | 命中次数 1 | 知识库来源
6.5,星纪元发布CheckList,wiki,3,1,1,考勤,签到,https://my-ichery.feishu.cn/wiki/SqxSwBKLhig3xqki2WucPjU2nUe,,覆盖类别 1 | 命中次数 1 | 知识库来源
6.5,江俊兰,wiki,2,1,1,考勤,签到,https://my-ichery.feishu.cn/wiki/WXpcwVvQ2i01uekWjRGctrSFnvf,,覆盖类别 1 | 命中次数 1 | 知识库来源
6.5,短信站内信文案,wiki,3,1,1,考勤,签到,https://my-ichery.feishu.cn/wiki/JE2IwTbV1iLx5JkqyuRctLxonlg,,覆盖类别 1 | 命中次数 1 | 知识库来源
6.5,01-团队建设,wiki,8,1,1,请假与假期,请假,https://my-ichery.feishu.cn/wiki/HZhfwvwskibp9Nk3B2ScEcx5nHd,,覆盖类别 1 | 命中次数 1 | 知识库来源
6.5,XO岗位工作要求v1.2,wiki,8,1,1,请假与假期,休假,https://my-ichery.feishu.cn/wiki/KRmFwGkfjiT2RGkVkVXcNRaYncT,,覆盖类别 1 | 命中次数 1 | 知识库来源
6.5,中国,wiki,8,1,1,请假与假期,休假,https://my-ichery.feishu.cn/wiki/IFXGwoAnTibbRxkY2Vyc2mkbngb,,覆盖类别 1 | 命中次数 1 | 知识库来源
6.5,V25子零件开发计划,wiki,2,1,1,请假与假期,休假,https://my-ichery.feishu.cn/wiki/CoBbwH6aUiARKgkb4cicMZLhnxc,,覆盖类别 1 | 命中次数 1 | 知识库来源
6.5,2026年假期运维排班,wiki,2,1,1,请假与假期,年假,https://my-ichery.feishu.cn/wiki/Fhpbw9IwJikhAVk87HcczIcFn7g,,覆盖类别 1 | 命中次数 1 | 知识库来源
6.5,对胖东来模式的思考,wiki,8,1,1,请假与假期,年假,https://my-ichery.feishu.cn/wiki/D7ivwNlGTinAXaknJbOcFjJ4nWf,,覆盖类别 1 | 命中次数 1 | 知识库来源
6.5,国际项目大日程排期,wiki,3,1,1,请假与假期,病假,https://my-ichery.feishu.cn/wiki/SLavwbI51iyePOk8TlIcti7RnWE,,覆盖类别 1 | 命中次数 1 | 知识库来源
6.5,顾谦,wiki,8,1,1,请假与假期,产假,https://my-ichery.feishu.cn/wiki/GzHMwiETkiioqFk9W6lcdCeTncb,,覆盖类别 1 | 命中次数 1 | 知识库来源
