score,title,source_kind,docs_type,hit_count,category_count,categories,matched_queries,url,raw_status,reasons
24.0,iCAR 行政后勤服务手册,docs,docx,4,2,发票 | 差旅,出差 | 发票报销 | 发票申请 | 电子发票,https://www.feishu.cn/docx/H75vdwtHIo9u6px1gHtcXf2LnGh,,覆盖类别 2 | 命中次数 4 | 标题强信号 1 | 可读取正文 | 正文强信号 5
22.5,关于进一步规范出差审批和费用报销管理的通知（股份）.pdf,wiki,5,6,2,发票 | 差旅,出差 | 出差审批 | 发票报销 | 差旅报销 | 差旅标准 | 差旅申请,https://my-ichery.feishu.cn/wiki/I4hRwJTtqikwIDkWLPUcX4IYnse,,覆盖类别 2 | 命中次数 6 | 标题强信号 2 | 知识库来源
20.5,国内差旅报销操作方法及注意事项,docs,docx,4,2,发票 | 差旅,发票 | 发票报销 | 差旅报销 | 差旅申请,https://www.feishu.cn/docx/Cugedhbluo8SvpxA09ucGPkQn7f,,覆盖类别 2 | 命中次数 4 | 标题强信号 2 | 可读取正文
19.5,差旅费报销,wiki,8,4,2,发票 | 差旅,出差 | 差旅报销 | 差旅申请 | 电子发票,https://my-ichery.feishu.cn/wiki/ODD6wPaHliQ4Amkk29JchNpTnSg,,覆盖类别 2 | 命中次数 4 | 标题强信号 2 | 知识库来源
17.5,费用&项目常见问题解答,wiki,8,6,2,发票 | 差旅,出差审批 | 发票报销 | 发票申请 | 差旅报销 | 差旅标准 | 差旅申请,https://my-ichery.feishu.cn/wiki/SVtSwdU6RiiM0YkdpQ7ch0IwnNg,,覆盖类别 2 | 命中次数 6 | 知识库来源
17.3,HR常见问题及解决方案总览,docs,docx,2,2,发票 | 差旅,出差 | 发票,https://www.feishu.cn/docx/B0zBdIpZuo2M3nxDYbtcwAcLnze,,覆盖类别 2 | 命中次数 2 | 可读取正文 | 正文强信号 4
13.0,内部问题反馈与业务熟悉记录,wiki,3,3,2,发票 | 差旅,发票报销 | 差旅报销 | 差旅标准,https://my-ichery.feishu.cn/wiki/GIFnwlhdYiZhxYkVB2Pcne6hnUe,,覆盖类别 2 | 命中次数 3 | 知识库来源
12.7,业务流程说明及模板参考,docs,docx,2,1,发票,发票 | 发票报销,https://www.feishu.cn/docx/KtUcd9ZqroKJVhxDX4Uc2g2znXe,,覆盖类别 1 | 命中次数 2 | 标题强信号 1 | 可读取正文 | 正文强信号 1
12.0,差旅申请单,wiki,8,3,1,差旅,出差 | 差旅报销 | 差旅申请,https://my-ichery.feishu.cn/wiki/Ln8hwTXnxiVygqknLs0c24fCnOc,,覆盖类别 1 | 命中次数 3 | 标题强信号 1 | 知识库来源
12.0,差旅相关问题,wiki,8,3,1,差旅,出差 | 差旅标准 | 差旅申请,https://my-ichery.feishu.cn/wiki/UgrIww0E4iS8TEk0LCsc5PPPnKh,,覆盖类别 1 | 命中次数 3 | 标题强信号 1 | 知识库来源
